product_id,week_start,forecast_qty
1000,2025-03-03,5.4612649004668326
1000,2025-03-10,12.776137392112895
1000,2025-03-17,15.123112277586936
1000,2025-03-24,17.738300337798588
1000,2025-03-31,20.96841973316148
1000,2025-04-07,26.066023487405364
1000,2025-04-14,25.78957573738372
1000,2025-04-21,28.40079576002546
1001,2025-03-03,15.339267742149982
1001,2025-03-10,13.975152350282604
1001,2025-03-17,17.248740775719913
1001,2025-03-24,15.559320240989821
1001,2025-03-31,24.213386382368792
1001,2025-04-07,23.101722562518574
1001,2025-04-14,24.579917594507794
1001,2025-04-21,23.76669337000602
1002,2025-03-03,10.508740688211928
1002,2025-03-10,11.17914620308543
1002,2025-03-17,13.957179738876393
1002,2025-03-24,15.45135831917743
1002,2025-03-31,19.522876890805858
1002,2025-04-07,19.48859193009962
1002,2025-04-14,22.833140972794595
1002,2025-04-21,27.76026615286902
1003,2025-03-03,20.252415643556517
1003,2025-03-10,19.656299652281934
1003,2025-03-17,22.90799666454623
1003,2025-03-24,24.648278526971843
1003,2025-03-31,30.103170813498508
1003,2025-04-07,30.412581890278886
1003,2025-04-14,35.1001266069671
1003,2025-04-21,39.383559394817766
1004,2025-03-03,16.841966498878225
1004,2025-03-10,21.779759959469096
1004,2025-03-17,26.6344733303469
1004,2025-03-24,24.47568840795576
1004,2025-03-31,32.59550575588857
1004,2025-04-07,29.765880814974164
1004,2025-04-14,30.802800081444982
1004,2025-04-21,33.25174078994507
1005,2025-03-03,11.830365104962194
1005,2025-03-10,12.35831536023595
1005,2025-03-17,15.82060803985124
1005,2025-03-24,17.20026811029159
1005,2025-03-31,25.364225772584742
1005,2025-04-07,22.86819775164917
1005,2025-04-14,23.43380545824573
1005,2025-04-21,25.997481405628317
1006,2025-03-03,28.709669899752644
1006,2025-03-10,27.30049163739303
1006,2025-03-17,33.59827210022952
1006,2025-03-24,30.053266084495338
1006,2025-03-31,40.01250169950715
1006,2025-04-07,37.71859424089274
1006,2025-04-14,40.440186209417334
1006,2025-04-21,36.23422000281967
1007,2025-03-03,7.897071518061467
1007,2025-03-10,9.253545277446769
1007,2025-03-17,10.325334515364545
1007,2025-03-24,9.356214855460973
1007,2025-03-31,10.773814836856523
1007,2025-04-07,11.277697548470192
1007,2025-04-14,11.936479292584558
1007,2025-04-21,11.92819870130618
1008,2025-03-03,7.280972958704045
1008,2025-03-10,8.918295637917907
1008,2025-03-17,11.769366091668463
1008,2025-03-24,11.752535259714067
1008,2025-03-31,13.457460725260058
1008,2025-04-07,15.52333166870468
1008,2025-04-14,17.97637770122194
1008,2025-04-21,18.92419658650832
1009,2025-03-03,11.671413561195843
1009,2025-03-10,12.967915177348988
1009,2025-03-17,12.573889165634352
1009,2025-03-24,11.795901153426465
1009,2025-03-31,13.497038410395783
1009,2025-04-07,13.634397342082698
1009,2025-04-14,15.004693209631014
1009,2025-04-21,14.652976420153744
1010,2025-03-03,15.50465876381469
1010,2025-03-10,17.113168786467646
1010,2025-03-17,23.07230303889521
1010,2025-03-24,25.656781746468155
1010,2025-03-31,31.240046496011672
1010,2025-04-07,31.814990755722615
1010,2025-04-14,34.53663182595478
1010,2025-04-21,38.39348408713472
1011,2025-03-03,11.951690903004927
1011,2025-03-10,13.71873818858967
1011,2025-03-17,13.229308635415913
1011,2025-03-24,11.907525101696265
1011,2025-03-31,13.43159746799332
1011,2025-04-07,15.338778283173214
1011,2025-04-14,15.339392288030185
1011,2025-04-21,14.62330211614523
1012,2025-03-03,23.513878913168472
1012,2025-03-10,29.513681478098107
1012,2025-03-17,34.970366446970644
1012,2025-03-24,31.931987237780294
1012,2025-03-31,43.56211225247379
1012,2025-04-07,37.95258158475838
1012,2025-04-14,42.94828845419178
1012,2025-04-21,49.150188571896116
1013,2025-03-03,7.963270385122198
1013,2025-03-10,8.615002869683076
1013,2025-03-17,9.887402679137509
1013,2025-03-24,9.937676205830828
1013,2025-03-31,10.370031465145821
1013,2025-04-07,10.831006289514937
1013,2025-04-14,10.624091730536659
1013,2025-04-21,11.216325822992712
1014,2025-03-03,9.011487775392322
1014,2025-03-10,10.413618831348764
1014,2025-03-17,10.345782715241121
1014,2025-03-24,10.95251936102727
1014,2025-03-31,11.001087352950025
1014,2025-04-07,11.926636067557034
1014,2025-04-14,11.998935078195109
1014,2025-04-21,12.184654202382733
1015,2025-03-03,5.541008196385872
1015,2025-03-10,6.504648746287422
1015,2025-03-17,7.6585705157153114
