model,best_params,MAE,RMSE,MAPE,R2
LightGBM,"{'learning_rate': 0.05, 'n_estimators': 200, 'num_leaves': 31, 'subsample': 0.8}",1.9622470660271465,5.647527467415406,0.6522696119601931,0.11414097189291872
CatBoost,"{'depth': 6, 'learning_rate': 0.03, 'n_estimators': 600}",1.9663371925726492,5.641325386244667,0.6549983597319042,0.11608559378191408
XGBoost,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 300}",1.967663049697876,5.63854231915158,0.6574962620533343,0.11695748567581177
Lasso,{'alpha': 0.001},2.02894729168086,5.6995659235918295,0.6463602122450864,0.09774047731053426
Ridge,{'alpha': 100.0},2.0292449646643425,5.699519561310762,0.6467203440671563,0.0977551558457117
LinearRegression,{'fit_intercept': True},2.029257618651391,5.699591448309337,0.6469971549661281,0.09773239600353212
